ID,LON,LAT,DEPTH,DIST,PLATE,QUALITY,REGIME_1,AZI,geometry
wsm147708,15.15,40.44,8.0,194.0,EU,C,TF,12.0,POINT (15.15 40.44)
wsm148142,13.84,41.72,14.8,334.0,EU,C,NF,100.0,POINT (13.84 41.72)
wsm148674,12.54,43.37,7.8,488.0,EU,C,NF,134.0,POINT (12.54 43.37)
wsm149581,12.53,43.35,7.9,485.0,EU,C,NF,155.0,POINT (12.53 43.35)
wsm149753,13.06,44.05,6.3,570.0,EU,C,TF,39.0,POINT (13.06 44.05)
wsm150605,12.4,43.44,5.9,493.0,EU,C,NF,125.0,POINT (12.4 43.44)
wsm150623,12.55,42.67,7.2,411.0,EU,C,NF,102.0,POINT (12.55 42.67)
wsm151018,15.5,40.72,8.6,233.0,EU,C,NF,149.0,POINT (15.5 40.72)
wsm151634,13.84,43.51,5.1,530.0,EU,C,SS,11.0,POINT (13.84 43.51)
wsm151637,11.04,43.54,9.9,497.0,EU,C,SS,119.0,POINT (11.04 43.54)
wsm151643,13.82,43.5,5.3,529.0,EU,C,SS,10.0,POINT (13.82 43.5)
wsm152163,10.66,44.11,10.0,562.0,EU,C,NF,174.0,POINT (10.66 44.11)
wsm152844,11.92,43.76,13.2,523.0,EU,C,SS,132.0,POINT (11.92 43.76)
wsm154040,11.13,43.66,18.7,510.0,EU,C,NS,123.0,POINT (11.13 43.66)
wsm154081,12.14,43.54,8.3,501.0,EU,C,NF,138.0,POINT (12.14 43.54)
wsm154123,14.91,41.65,18.6,323.0,EU,C,TF,152.0,POINT (14.91 41.65)
wsm154634,11.14,44.13,8.0,563.0,EU,C,NF,122.0,POINT (11.14 44.13)
wsm155077,11.41,44.17,14.0,567.0,EU,C,NF,131.0,POINT (11.41 44.17)
wsm155300,13.53,41.85,16.9,347.0,EU,C,NF,133.0,POINT (13.53 41.85)
wsm155963,13.29,42.88,7.8,449.0,EU,C,SS,167.0,POINT (13.29 42.88)
wsm156086,15.34,41.78,23.4,343.0,EU,C,TS,145.0,POINT (15.34 41.78)
wsm156847,14.3,42.92,6.0,462.0,EU,C,TF,70.0,POINT (14.3 42.92)
wsm157455,12.28,43.53,11.0,501.0,EU,C,SS,135.0,POINT (12.28 43.53)
wsm157518,15.52,42.09,21.7,379.0,EU,C,TF,155.0,POINT (15.52 42.09)
wsm157769,10.89,44.16,10.0,567.0,EU,C,SS,123.0,POINT (10.89 44.16)
wsm158346,11.94,44.26,21.7,579.0,EU,C,TF,39.0,POINT (11.94 44.26)
wsm158754,11.26,43.59,10.0,502.0,EU,C,SS,129.0,POINT (11.26 43.59)
wsm158934,12.32,43.63,8.9,513.0,EU,C,NF,128.0,POINT (12.32 43.63)
wsm158966,12.34,43.63,7.1,513.0,EU,C,NF,127.0,POINT (12.34 43.63)
